episode,timestep,reward
35,800,21.9429
76,1600,20.2195
110,2400,23.0882
144,3200,23.9118
172,4000,26.75
196,4800,34.7917
215,5600,42.6316
228,6400,60.2308
243,7200,53.5333
258,8000,52.4667
269,8800,71.0909
278,9600,92.4444
283,10400,161.0
289,11200,132.6667
294,12000,150.2
299,12800,158.2
304,13600,152.0
308,14400,202.5
312,15200,198.5
318,16000,133.1667
323,16800,137.6
326,17600,320.6667
329,18400,257.6667
332,19200,211.3333
335,20000,340.0
338,20800,224.6667
341,21600,249.0
344,22400,295.3333
346,23200,375.5
348,24000,334.0
350,24800,385.0
354,25600,275.25
356,26400,400.0
359,27200,263.0
361,28000,344.0
363,28800,368.0
366,29600,268.0
368,30400,367.0
371,31200,323.0
373,32000,374.5
375,32800,365.5
377,33600,348.0
380,34400,321.0
382,35200,400.0
385,36000,314.0
387,36800,315.5
389,37600,352.5
392,38400,332.6667
394,39200,376.5
396,40000,400.0
398,40800,332.5
400,41600,390.0
402,42400,400.0
404,43200,400.0
407,44000,362.3333
409,44800,355.5
411,45600,400.0
413,46400,399.0
415,47200,400.0
417,48000,347.5
419,48800,400.0
421,49600,399.0
424,50400,307.3333
426,51200,358.0
428,52000,400.0
430,52800,400.0
432,53600,400.0
434,54400,369.5
436,55200,388.5
438,56000,400.0
440,56800,400.0
443,57600,351.6667
445,58400,400.0
447,59200,400.0
450,60000,235.0
452,60800,384.5
455,61600,301.0
457,62400,400.0
459,63200,400.0
461,64000,400.0
463,64800,356.5
465,65600,398.5
467,66400,389.0
469,67200,321.5
471,68000,379.5
474,68800,380.6667
476,69600,301.5
478,70400,362.5
480,71200,374.5
483,72000,351.0
485,72800,380.5
487,73600,373.0
489,74400,377.5
492,75200,314.0
495,76000,262.6667
497,76800,400.0
499,77600,400.0
501,78400,363.5
503,79200,370.0
505,80000,385.5
507,80800,400.0
509,81600,391.0
511,82400,400.0
514,83200,291.6667
516,84000,310.5
519,84800,362.0
521,85600,394.5
523,86400,400.0
525,87200,392.0
527,88000,379.0
529,88800,400.0
531,89600,334.0
533,90400,400.0
535,91200,400.0
537,92000,400.0
539,92800,400.0
541,93600,400.0
543,94400,400.0
545,95200,400.0
547,96000,400.0
549,96800,400.0
551,97600,400.0
553,98400,400.0
555,99200,400.0
557,100000,400.0
